TileID,Cross,Rod,Cassette,Frame,RecruitID,UniqueID,Location,TimePoint,Date,Size
1714,SS,40,20,3,2,1714_2,Face,0,4/09/2020,2.824
1111,FF,40,20,3,1,1111_1,Side,0,4/09/2020,3.606
1111,FF,40,20,3,2,1111_2,Side,0,4/09/2020,2.91
1111,FF,40,20,3,3,1111_3,Side,0,4/09/2020,10.34
1111,FF,40,20,3,4,1111_4,Side,0,4/09/2020,5.155
1111,FF,40,20,3,5,1111_5,Side,0,4/09/2020,4.592
1111,FF,40,20,3,6,1111_6,Side,0,4/09/2020,0.889
1111,FF,40,20,3,7,1111_7,Side,0,4/09/2020,1.309
1111,FF,40,20,3,8,1111_8,Side,0,4/09/2020,1.267
1111,FF,40,20,3,9,1111_9,Side,0,4/09/2020,3.933
1111,FF,40,20,3,10,1111_10,Side,0,4/09/2020,4.196
1111,FF,40,20,3,11,1111_11,Side,0,4/09/2020,2.876
1111,FF,40,20,3,12,1111_12,Side,0,4/09/2020,6.867
1111,FF,40,20,3,13,1111_13,Side,0,4/09/2020,4.893
1111,FF,40,20,3,14,1111_14,Side,0,4/09/2020,1.431
1211,FS,42,21,3,1,1211_1,Side,0,4/09/2020,60.982
1211,FS,42,21,3,3,1211_3,Face,0,4/09/2020,44.53
1366,FS,42,21,3,1,1366_1,Top,0,4/09/2020,13.961
1366,FS,42,21,3,2,1366_2,Top,0,4/09/2020,3.098
1366,FS,42,21,3,3,1366_3,Top,0,4/09/2020,9.131
1366,FS,42,21,3,4,1366_4,Top,0,4/09/2020,3.067
1366,FS,42,21,3,6,1366_6,Top,0,4/09/2020,1.074
1366,FS,42,21,3,5,1366_5,Top,0,4/09/2020,15.424
1366,FS,42,21,3,7,1366_7,Top,0,4/09/2020,2.176
1366,FS,42,21,3,8,1366_8,Side,0,4/09/2020,1.463
1259,FS,42,21,3,1,1259_1,Face,0,4/09/2020,13.266
1259,FS,42,21,3,2,1259_2,Face,0,4/09/2020,3.376
1259,FS,42,21,3,3,1259_3,Face,0,4/09/2020,1.662
1168,FF,42,21,3,1,1168_1,Face,0,4/09/2020,1.91
1002,FF,43,22,3,1,1002_1,Top,0,4/09/2020,NA
1225,FS,43,22,3,1,1225_1,Face,0,4/09/2020,2.085
1225,FS,43,22,3,2,1225_2,Face,0,4/09/2020,2.241
3016,FF,43,22,3,1,3016_1,Face,0,4/09/2020,2.392
3218,FS,44,22,3,1,3218_1,Face,0,4/09/2020,1.569
3307,FS,45,23,3,1,3307_1,Side,0,4/09/2020,1.439
1664,SS,45,23,3,1,1664_1,Face,0,4/09/2020,62.817
1664,SS,45,23,3,2,1664_2,Face,0,4/09/2020,81.49
1664,SS,45,23,3,3,1664_3,Face,0,4/09/2020,5.965
1204,FS,45,23,3,1,1204_1,Face,0,4/09/2020,18.951
1204,FS,45,23,3,2,1204_2,Face,0,4/09/2020,6.733
1204,FS,45,23,3,3,1204_3,Face,0,4/09/2020,28.996
1204,FS,45,23,3,4,1204_4,Face,0,4/09/2020,4.619
1473,SF,45,23,3,1,1473_1,Face,0,4/09/2020,NA
1473,SF,45,23,3,2,1473_2,Side,0,4/09/2020,NA
1302,FS,46,23,3,1,1302_1,Side,0,4/09/2020,3.429
1302,FS,46,23,3,2,1302_2,Face,0,4/09/2020,12.236
1728,SS,46,23,3,1,1728_1,Top,0,4/09/2020,28.874
1384,FS,46,23,3,1,1384_1,Top,0,4/09/2020,30.529
1322,FS,47,24,3,3,1322_3,Face,0,4/09/2020,NA
1491,SF,47,24,3,1,1491_1,Top,0,4/09/2020,8.798
1711,SS,47,24,3,1,1711_1,Side,0,4/09/2020,1.482
1711,SS,47,24,3,2,1711_2,Side,0,4/09/2020,2.361
1711,SS,47,24,3,3,1711_3,Side,0,4/09/2020,1.767
1711,SS,47,24,3,4,1711_4,Face,0,4/09/2020,NA
1711,SS,47,24,3,5,1711_5,Face,0,4/09/2020,NA
1711,SS,47,24,3,6,1711_6,Face,0,4/09/2020,NA
1711,SS,47,24,3,7,1711_7,Face,0,4/09/2020,NA
1711,SS,47,24,3,8,1711_8,Face,0,4/09/2020,NA
1479,SF,49,25,4,1,1479_1,Face,0,4/09/2020,4.475
1632,SS,49,25,4,2,1632_2,Top,0,4/09/2020,3.199
1632,SS,49,25,4,3,1632_3,Top,0,4/09/2020,22.345
1632,SS,49,25,4,4,1632_4,Top,0,4/09/2020,45.295
1640,SS,50,25,4,1,1640_1,Top,0,4/09/2020,16.24
1445,SF,50,25,4,2,1445_2,Top,0,4/09/2020,1.952
1445,SF,50,25,4,3,1445_3,Side,0,4/09/2020,4.359
3022,FF,51,26,4,2,3022_2,Face,0,4/09/2020,1.969
1183,FF,51,26,4,1,1183_1,Top,0,4/09/2020,234.527
1220,FS,51,26,4,1,1220_1,Top,0,4/09/2020,71.169
1220,FS,51,26,4,2,1220_2,Face,0,4/09/2020,65.014
1306,FS,52,26,4,1,1306_1,Face,0,4/09/2020,1.999
1395,FS,52,26,4,2,1395_2,Side,0,4/09/2020,1.642
1395,FS,52,26,4,3,1395_3,Face,0,4/09/2020,1.177
3706,SS,52,26,4,1,3706_1,Top,0,4/09/2020,11.204
