TileID,Cross,Rod,Cassette,Frame,RecruitID,UniqueID,Health,Location,TimePoint,Date,Survival,Colour,RelativeGrey,Month
1111,FF,40,20,3,8,1111_8,Good,Side,0,2020-09-04,1,8.995,1,Sep-20
1111,FF,40,20,3,9,1111_9,Good,Side,0,2020-09-04,1,9.057,1,Sep-20
1111,FF,40,20,3,10,1111_10,Good,Side,0,2020-09-04,1,9.113,1,Sep-20
1111,FF,40,20,3,11,1111_11,Good,Side,0,2020-09-04,1,9.327,1,Sep-20
1111,FF,40,20,3,12,1111_12,Good,Side,0,2020-09-04,1,8.789,1,Sep-20
1111,FF,40,20,3,13,1111_13,Good,Side,0,2020-09-04,1,9.075,1,Sep-20
1111,FF,40,20,3,14,1111_14,Good,Side,0,2020-09-04,1,8.812,1,Sep-20
1211,FS,42,21,3,1,1211_1,Good,Side,0,2020-09-04,1,8.196,1,Sep-20
1211,FS,42,21,3,3,1211_3,Good,Face,0,2020-09-04,1,7.978,1,Sep-20
1366,FS,42,21,3,1,1366_1,Good,Top,0,2020-09-04,1,8.696,1,Sep-20
1366,FS,42,21,3,2,1366_2,Good,Top,0,2020-09-04,1,8.461,1,Sep-20
1366,FS,42,21,3,3,1366_3,Good,Top,0,2020-09-04,1,8.193,1,Sep-20
1366,FS,42,21,3,4,1366_4,Good,Top,0,2020-09-04,1,8.234,1,Sep-20
1366,FS,42,21,3,6,1366_6,Good,Top,0,2020-09-04,1,7.935,1,Sep-20
1366,FS,42,21,3,5,1366_5,Good,Top,0,2020-09-04,1,8.039,1,Sep-20
1366,FS,42,21,3,7,1366_7,Good,Top,0,2020-09-04,1,8.873,1,Sep-20
1366,FS,42,21,3,8,1366_8,Good,Side,0,2020-09-04,1,7.904,1,Sep-20
1259,FS,42,21,3,1,1259_1,Good,Face,0,2020-09-04,1,7.878,1,Sep-20
1259,FS,42,21,3,2,1259_2,Good,Face,0,2020-09-04,1,8.436,1,Sep-20
1259,FS,42,21,3,3,1259_3,Good,Face,0,2020-09-04,1,8.21,1,Sep-20
1168,FF,42,21,3,1,1168_1,Good,Face,0,2020-09-04,1,9.041,1,Sep-20
1002,FF,43,22,3,1,1002_1,Good,Top,0,2020-09-04,1,7.184,1,Sep-20
1225,FS,43,22,3,1,1225_1,Good,Face,0,2020-09-04,1,6.771,1,Sep-20
1225,FS,43,22,3,2,1225_2,Good,Face,0,2020-09-04,1,7.423,1,Sep-20
3016,FF,43,22,3,1,3016_1,Good,Face,0,2020-09-04,1,7.68,1,Sep-20
3218,FS,44,22,3,1,3218_1,Good,Face,0,2020-09-04,1,8.132,1,Sep-20
3307,FS,45,23,3,1,3307_1,Good,Side,0,2020-09-04,1,8.342,1,Sep-20
1664,SS,45,23,3,1,1664_1,Good,Face,0,2020-09-04,1,8.291,1,Sep-20
1664,SS,45,23,3,2,1664_2,Good,Face,0,2020-09-04,1,8.054,1,Sep-20
1664,SS,45,23,3,3,1664_3,Good,Face,0,2020-09-04,1,8.775,1,Sep-20
1204,FS,45,23,3,1,1204_1,Good,Face,0,2020-09-04,1,8.629,1,Sep-20
1204,FS,45,23,3,2,1204_2,Good,Face,0,2020-09-04,1,8.904,1,Sep-20
1204,FS,45,23,3,3,1204_3,Good,Face,0,2020-09-04,1,8.837,1,Sep-20
1204,FS,45,23,3,4,1204_4,Good,Face,0,2020-09-04,1,9.416,1,Sep-20
1473,SF,45,23,3,1,1473_1,Good,Face,0,2020-09-04,1,NA,NA,Sep-20
1473,SF,45,23,3,2,1473_2,Good,Side,0,2020-09-04,1,NA,NA,Sep-20
1302,FS,46,23,3,1,1302_1,Good,Side,0,2020-09-04,1,8.295,1,Sep-20
1302,FS,46,23,3,2,1302_2,Good,Face,0,2020-09-04,1,7.916,1,Sep-20
1728,SS,46,23,3,1,1728_1,Good,Top,0,2020-09-04,1,7.812,1,Sep-20
1384,FS,46,23,3,1,1384_1,Good,Top,0,2020-09-04,1,8.404,1,Sep-20
1322,FS,47,24,3,3,1322_3,Good,Face,0,2020-09-04,1,NA,NA,Sep-20
1491,SF,47,24,3,1,1491_1,Good,Top,0,2020-09-04,1,7.475,1,Sep-20
1711,SS,47,24,3,1,1711_1,Good,Side,0,2020-09-04,1,7.993,1,Sep-20
1711,SS,47,24,3,2,1711_2,Good,Side,0,2020-09-04,1,8.294,1,Sep-20
1711,SS,47,24,3,3,1711_3,Good,Side,0,2020-09-04,1,8.514,1,Sep-20
1711,SS,47,24,3,4,1711_4,Good,Face,0,2020-09-04,1,NA,NA,Sep-20
1711,SS,47,24,3,5,1711_5,Good,Face,0,2020-09-04,1,NA,NA,Sep-20
1711,SS,47,24,3,6,1711_6,Good,Face,0,2020-09-04,1,NA,NA,Sep-20
1711,SS,47,24,3,7,1711_7,Good,Face,0,2020-09-04,1,NA,NA,Sep-20
1711,SS,47,24,3,8,1711_8,Good,Face,0,2020-09-04,1,NA,NA,Sep-20
1479,SF,49,25,4,1,1479_1,Good,Face,0,2020-09-04,1,8.013,1,Sep-20
1632,SS,49,25,4,3,1632_3,Good,Top,0,2020-09-04,1,7.926,1,Sep-20
1632,SS,49,25,4,4,1632_4,Good,Top,0,2020-09-04,1,7.547,1,Sep-20
1640,SS,50,25,4,1,1640_1,Good,Top,0,2020-09-04,1,8.353,1,Sep-20
1445,SF,50,25,4,2,1445_2,Good,Top,0,2020-09-04,1,7.63,1,Sep-20
1445,SF,50,25,4,3,1445_3,Good,Side,0,2020-09-04,1,6.558,1,Sep-20
3022,FF,51,26,4,2,3022_2,Good,Face,0,2020-09-04,1,8.172,1,Sep-20
1183,FF,51,26,4,1,1183_1,Good,Top,0,2020-09-04,1,8.761,1,Sep-20
1220,FS,51,26,4,1,1220_1,Good,Top,0,2020-09-04,1,9.212,1,Sep-20
1220,FS,51,26,4,2,1220_2,Good,Face,0,2020-09-04,1,8.08,1,Sep-20
1306,FS,52,26,4,1,1306_1,Good,Face,0,2020-09-04,1,6.569,1,Sep-20
1395,FS,52,26,4,2,1395_2,Good,Side,0,2020-09-04,1,8.061,1,Sep-20
1395,FS,52,26,4,3,1395_3,Good,Face,0,2020-09-04,1,6.955,1,Sep-20
3706,SS,52,26,4,1,3706_1,Good,Top,0,2020-09-04,1,7.992,1,Sep-20
1490,SF,53,27,4,1,1490_1,Good,Side,0,2020-09-04,1,NA,NA,Sep-20
1307,FS,54,27,4,1,1307_1,Good,Face,0,2020-09-04,1,8.234,1,Sep-20
1488,SF,54,27,4,1,1488_1,Good,Top,0,2020-09-04,1,7.029,1,Sep-20
